u_niqe,u_brisque,a_rx_skull.penetration_index,a_rx_skull.sinus_air_score,img_mean,img_std,img_entropy,a_rx_chest.lung_symmetry,a_rx_chest.inspiration_index,a_rx_chest.mediastinum_width,a_rx_chest.rotation_angle,a_rx_abdomen.nps_fat,a_rx_abdomen.free_air_detector,score,deg_type,severity
5.683832330255633,17.2275390625,0.0,0.6299212598425197,0.22587968409061432,0.214169442653656,6.020577033561571,0.0,0.0,0.0,0.0,0.0,0.0,75.25721291951963,original,0.0
4.674026876771314,26.2340087890625,0.0,0.732836027075563,0.23076066374778748,0.2187972366809845,5.939732955629216,0.0,0.0,0.0,0.0,0.0,0.0,64.38657809489737,rotation,0.11133106816568039
4.985377769792787,28.35736083984375,0.0,0.5995303218676613,0.2054481953382492,0.2145892083644867,5.54793511131329,0.0,0.0,0.0,0.0,0.0,0.0,55.762975466616645,scale,0.27502931836911926
8.195645358008294,47.75006103515625,0.0,0.6354468849288576,0.22732719779014587,0.2175341546535492,6.020948617430285,0.0,0.0,0.0,0.0,0.0,0.0,39.78084713893896,noise_salt_pepper,0.1395379285251439
4.236844707191237,14.13616943359375,0.0,0.0,0.22171343863010406,0.21361784636974335,5.873355065646752,0.0,0.0,0.0,0.0,0.0,0.0,73.4169383205844,original,0.0
8.041240531651663,46.6820068359375,0.0,0.0,0.2648495137691498,0.24633245170116425,6.031630044171571,0.0,0.0,0.0,0.0,0.0,0.0,19.32375029207246,blur_motion,0.6766994874229113
4.035861877271641,15.46044921875,0.0,0.0,0.21591943502426147,0.2112378031015396,5.8718014840986825,0.0,0.0,0.0,0.0,0.0,0.0,51.58285720129954,vignetting,0.5453665337483498
3.843824026510649,11.8544921875,0.0,0.0,0.26658758521080017,0.2566544711589813,5.865127518392013,0.0,0.0,0.0,0.0,0.0,0.0,57.497633702518186,brightness_bright,0.4219218196852704
4.054081183920861,6.3363037109375,0.0,0.5697032436162871,0.21997638046741486,0.23096689581871033,5.849248798887515,0.0,0.0,0.0,0.0,0.0,0.0,73.11560998609393,original,0.0
6.370924528935773,35.27960205078125,0.0,0.5787612146307799,0.22645598649978638,0.23619936406612396,5.7964333123494045,0.0,0.0,0.0,0.0,0.0,0.0,53.779360212631154,blur_gaussian,0.09369523986159245
