u_niqe,u_brisque,a_rx_chest.lung_symmetry,a_rx_chest.inspiration_index,a_rx_chest.mediastinum_width,a_rx_chest.rotation_angle,img_mean,img_std,img_entropy,adv_clavicle_symmetry,adv_rib_count_visibility,a_rx_skull.penetration_index,a_rx_skull.sinus_air_score,a_rx_abdomen.nps_fat,a_rx_abdomen.free_air_detector,score,deg_type,severity
4.7422961324674535,9.71832275390625,0.9119142737239255,0.4009939713064713,0.216796875,0.0,0.49190187454223633,0.2322571724653244,7.57303049145061,0.8694868688366495,5,0.0,0.0,0.0,0.0,87.85209655761719,original,0.0
4.373358094686271,20.75128173828125,0.9125271497337719,0.40661248473748474,0.205078125,0.0,0.5013414025306702,0.23579712212085724,7.618448224667548,0.7043726193516203,5,0.0,0.0,0.0,0.0,69.60765510052123,rotation,0.11133106816568039
4.576388232732877,21.46954345703125,0.9461739291698164,0.4001736111111111,0.216796875,0.0,0.4486386775970459,0.263523668050766,7.363273890599869,0.9209473039870348,3,0.0,0.0,0.0,0.0,62.161897943946165,scale,0.27502931836911926
4.6268145161160685,8.02105712890625,0.8891513764996761,0.4041003787878788,0.2890625,0.0,0.554688572883606,0.23720881342887878,7.570638135450498,0.770144226965303,6,0.0,0.0,0.0,0.0,89.97367858886719,original,0.0
7.2879246742359545,27.51556396484375,0.8873257043802065,0.40454545454545454,0.287109375,0.0,0.5544958710670471,0.23926220834255219,7.58167197899018,0.7447909613447107,10,0.0,0.0,0.0,0.0,60.02402790293956,noise_salt_pepper,0.1395379285251439
8.233404980385469,57.9146728515625,0.8480899136850788,0.4065151515151515,0.28515625,0.0,0.5504940748214722,0.26987192034721375,7.462166739430804,0.8041447619036439,6,0.0,0.0,0.0,0.0,18.04265396718042,blur_motion,0.6766994874229113
4.6983161258020365,11.2940673828125,0.0,0.0,0.0,0.0,0.5133429169654846,0.225172758102417,7.534030672890273,0.8801072789025237,6,0.8904315980237751,0.0,0.0,0.0,85.88241577148438,original,0.0
4.704704861899346,11.61907958984375,0.0,0.0,0.0,0.0,0.4689284563064575,0.21108856797218323,7.457364226716351,0.8680942745116828,6,0.7993750719792497,0.393007608627303,0.0,0.0,63.66148916276132,vignetting,0.5453665337483498
4.38813494804002,8.69482421875,0.0,0.0,0.0,0.0,0.6152239441871643,0.26718375086784363,7.269991794928552,0.8828633107081588,7,0.8911367335091783,0.0,0.0,0.0,72.25459693915168,brightness_bright,0.4219218196852704
5.021838073682595,19.51141357421875,0.9305159089154593,0.40061614923747274,0.302734375,0.0,0.591155469417572,0.16838151216506958,7.3076547933234925,0.8387429834506056,9,0.0,0.0,0.0,0.0,75.61073303222656,original,0.0
